Player,Matches,BattingInnings,TotalBallFaced,TotalRuns,NotOuts,BattingAvg,Bestscore,StrikeRate,BowlingInnings,TotalBallBowled,TotalWickets,BestWickets,TotalRunsConceded,BowlingAvg,TotalOverBowled,EconomyRate
R Ashwin,181,72,567,647,24,13.479166666666666,50,114.10934744268076,181,567,174,5,4596,26.41379310344828,670.6666666666666,6.852882703777336
R Bhatia,94,47,290,342,18,11.79310344827586,26,117.9310344827586,91,290,82,4,2059,25.10975609756097,276.8333333333333,7.437688139674895
R Bishnoi,3,3,17,19,0,6.333333333333333,18,111.76470588235294,0,17,0,0,0,0.0,0.0,0.0
R Dhawan,31,20,176,190,11,21.11111111111111,25,107.95454545454544,31,176,26,2,819,31.5,105.33333333333331,7.775316455696203
R Dravid,82,82,1918,2174,5,28.233766233766232,75,113.34723670490096,0,1918,0,0,0,0.0,0.0,0.0
R McLaren,18,13,178,159,5,19.875,51,89.32584269662921,18,178,14,3,558,39.85714285714285,62.0,9.0
R Ninan,2,1,6,3,0,3.0,3,50.0,2,6,3,2,65,21.666666666666668,6.0,10.833333333333334
R Parag,40,37,434,522,8,18.0,56,120.27649769585254,19,434,5,1,280,56.0,27.0,10.37037037037037
R Powell,12,12,174,250,1,22.727272727272727,67,143.67816091954023,1,174,0,0,17,inf,1.1666666666666667,14.571428571428571
R Rampaul,12,7,52,51,2,10.2,23,98.07692307692308,12,52,17,3,319,18.764705882352946,46.333333333333336,6.884892086330935
R Sai Kishore,5,0,0,0,0,0.0,0,0.0,5,0,6,2,122,20.33333333333333,16.333333333333332,7.469387755102042
R Sanjay Yadav,1,1,2,0,0,0.0,0,0.0,1,2,0,0,23,inf,2.333333333333333,9.857142857142856
R Sathish,27,24,236,270,8,16.875,27,114.40677966101696,14,236,6,2,233,38.833333333333336,24.0,9.708333333333334
R Sharma,44,19,77,66,8,6.0,14,85.71428571428571,44,77,42,3,1100,26.19047619047619,155.83333333333334,7.0588235294117645
R Shepherd,3,3,43,58,0,19.33333333333333,26,134.88372093023256,3,43,4,3,98,24.5,9.5,10.31578947368421
R Shukla,7,4,23,19,2,9.5,14,82.6086956521739,7,23,7,2,217,31.0,21.666666666666668,10.015384615384615
R Tewatia,60,46,588,738,15,23.806451612903224,53,125.51020408163264,50,588,36,3,1102,30.61111111111111,142.0,7.76056338028169
R Vinay Kumar,104,42,289,310,16,11.923076923076923,26,107.26643598615917,104,289,127,5,3041,23.944881889763774,364.3333333333333,8.346752058554438
RA Bawa,2,2,14,11,0,5.5,11,78.57142857142857,0,14,0,0,0,0.0,0.0,0.0
RA Jadeja,202,157,2049,2502,57,25.02,62,122.10834553440704,181,2049,141,5,4114,29.177304964539008,543.6666666666666,7.5671367259350095
RA Shaikh,1,0,0,0,0,0.0,0,0.0,1,0,0,0,11,inf,1.0,11.0
RA Tripathi,74,74,1312,1798,10,28.09375,93,137.04268292682926,1,1312,0,0,12,inf,1.0,12.0
RD Chahar,54,18,102,108,5,8.307692307692308,25,105.88235294117648,54,102,58,4,1497,25.810344827586206,201.16666666666663,7.441590720795361
RD Gaikwad,36,36,945,1207,4,37.71875,101,127.72486772486774,0,945,0,0,0,0.0,0.0,0.0
RE Levi,6,6,74,83,0,13.833333333333334,50,112.16216216216218,0,74,0,0,0,0.0,0.0,0.0
RE van der Merwe,21,15,144,159,3,13.25,35,110.41666666666669,21,144,25,3,515,20.6,75.83333333333333,6.791208791208792
RG More,2,1,2,2,1,inf,2,100.0,2,2,1,1,63,63.0,6.166666666666667,10.216216216216216
RG Sharma,221,221,4632,5881,18,28.97044334975369,109,126.96459412780656,32,4632,16,4,462,28.875,58.16666666666666,7.94269340974212
RJ Harris,37,21,112,117,9,9.75,17,104.46428571428572,37,112,47,4,1085,23.08510638297872,144.16666666666666,7.526011560693642
RJ Peterson,5,5,32,32,2,10.666666666666666,16,100.0,4,32,3,3,70,23.33333333333333,8.0,8.75
